ID,Company,Date,Year,Month_Name,Quarter,Industry,Country,Company_Size,Employees_Laid_Off,Pct_Workforce_Laid_Off,Reason,Market_Condition,AI_Automation_Impact_Score,AI_Replacement_Risk_Score,AI_Adoption_Level_Score,Open_Roles,Hiring_Trend,Top_Hiring_Role,Remote_Jobs_Pct,Stock_Growth_Pct,Revenue_Growth_Pct,Salary_Budget_Change_Pct,Employee_Sentiment_Score,Job_Security_Score
1,Adobe,2024-01-01,2024,January,1,E-Commerce,Singapore,Mid-size,488,2.3,Market Slowdown,Bull Market,1.4,1.4,1.8,3695,Moderate Hiring,ML Engineer,85.3,-6.2,3.3,0.1,5.5,6.6
2,Adobe,2024-01-01,2024,January,1,E-Commerce,Canada,Big Tech,1979,4.4,Market Slowdown,Bull Market,8.0,10.0,8.5,4120,Aggressive Hiring,Software Engineer,23.0,-36.8,50.4,27.4,6.3,6.9
3,Adobe,2024-01-01,2024,January,1,E-Commerce,Singapore,Mid-size,5497,15.0,Cost Cutting,Stable,1.8,5.7,1.6,4869,Moderate Hiring,Frontend Developer,69.2,-39.4,6.9,0.2,6.4,5.7
4,Adobe,2024-01-01,2024,January,1,Cybersecurity,USA,Startup,1991,3.0,Market Slowdown,Bull Market,3.2,5.5,4.5,2159,Moderate Hiring,Cybersecurity Analyst,51.6,22.1,-17.5,-0.8,5.1,5.3
5,Adobe,2024-01-01,2024,January,1,Social Media,India,Mid-size,1458,33.0,Restructuring,Recession,10.4,10.0,8.0,812,Downsizing,Cloud Engineer,53.6,-3.5,19.8,2.1,4.8,2.6
6,Adobe,2024-01-01,2024,January,1,Cybersecurity,UK,Startup,5175,27.5,AI Automation,Recession,9.1,10.0,6.1,440,Hiring Freeze,Software Engineer,11.1,0.6,11.4,0.6,3.6,2.8
7,Adobe,2024-01-01,2024,January,1,AI,Canada,Mid-size,352,8.9,Restructuring,Bull Market,3.7,3.4,2.3,5219,Moderate Hiring,ML Engineer,35.4,76.1,5.5,5.2,5.3,5.8
8,Adobe,2024-01-01,2024,January,1,AI,India,Big Tech,862,7.5,Cost Cutting,Stable,7.5,5.1,5.1,8810,Moderate Hiring,Data Scientist,39.1,79.6,2.0,7.0,5.9,6.3
9,Adobe,2024-01-01,2024,January,1,Cybersecurity,Germany,Enterprise,806,3.8,Restructuring,Bull Market,7.4,10.0,8.7,1879,Moderate Hiring,Product Manager,35.3,-19.7,41.2,14.6,6.8,6.5
10,Adobe,2024-01-01,2024,January,1,Social Media,UK,Enterprise,16187,26.4,Market Slowdown,Recession,16.0,10.0,9.8,1583,Hiring Freeze,Cybersecurity Analyst,68.9,-1.3,-14.7,-2.7,3.2,2.6
11,Adobe,2024-01-01,2024,January,1,Social Media,Germany,Big Tech,70,3.9,AI Automation,Bull Market,7.7,7.6,5.6,4058,Hiring Freeze,Cybersecurity Analyst,71.7,56.5,39.9,18.6,9.0,7.6
12,Adobe,2024-01-01,2024,January,1,Gaming,Germany,Mid-size,18447,28.5,Overhiring Correction,Recession,5.8,10.0,8.4,362,Hiring Freeze,Software Engineer,63.1,57.1,-6.4,-13.5,5.9,3.8
13,Adobe,2024-01-01,2024,January,1,E-Commerce,UK,Enterprise,339,5.6,Cost Cutting,Bull Market,7.0,10.0,9.2,1004,Moderate Hiring,Product Manager,49.8,-25.0,7.6,1.5,6.7,5.6
14,Adobe,2024-01-01,2024,January,1,Social Media,India,Big Tech,2481,2.1,Restructuring,Bull Market,4.8,4.0,2.9,2569,Hiring Freeze,Software Engineer,59.5,-29.1,41.5,27.2,7.6,8.0
15,Adobe,2024-01-01,2024,January,1,Cloud,India,Startup,1748,8.4,Cost Cutting,Bull Market,12.6,8.9,9.7,1827,Moderate Hiring,Product Manager,82.8,14.2,-13.3,0.4,4.3,4.1
16,Airbnb,2024-01-01,2024,January,1,Social Media,India,Enterprise,477,1.8,Market Slowdown,Bull Market,4.0,5.9,4.6,4205,Moderate Hiring,Data Scientist,49.4,72.6,12.9,7.2,6.7,7.2
17,Airbnb,2024-01-01,2024,January,1,Gaming,Germany,Startup,9787,8.6,Market Slowdown,Recession,8.7,7.9,8.2,711,Hiring Freeze,Cloud Engineer,78.7,78.0,39.1,23.3,5.6,7.7
18,Airbnb,2024-01-01,2024,January,1,Cloud,USA,Mid-size,17575,17.6,Restructuring,Recession,3.0,4.7,3.5,1122,Downsizing,Product Manager,38.3,86.7,-10.5,0.2,6.4,4.1
19,Airbnb,2024-01-01,2024,January,1,E-Commerce,Singapore,Startup,7923,9.8,Restructuring,Recession,4.6,9.8,5.8,1194,Hiring Freeze,Data Scientist,87.6,79.6,39.8,17.7,6.2,6.6
20,Airbnb,2024-01-01,2024,January,1,Cloud,UK,Big Tech,98,3.3,Restructuring,Bull Market,8.9,3.6,5.4,4783,Moderate Hiring,Cybersecurity Analyst,13.1,75.6,54.8,29.2,10.0,8.2
21,Airbnb,2024-01-01,2024,January,1,Gaming,USA,Enterprise,2173,4.9,Overhiring Correction,Bull Market,9.0,8.5,8.1,3119,Moderate Hiring,Software Engineer,53.8,64.3,-4.3,8.5,6.7,5.9
22,Airbnb,2024-01-01,2024,January,1,FinTech,USA,Startup,3516,36.2,Market Slowdown,Recession,5.4,10.0,7.6,1162,Downsizing,DevOps Engineer,77.1,13.7,0.1,-1.5,5.6,1.9
23,Airbnb,2024-01-01,2024,January,1,Cybersecurity,UK,Enterprise,3928,10.3,Restructuring,Stable,10.3,10.0,6.4,1055,Hiring Freeze,Cloud Engineer,67.8,-0.5,-8.9,-13.0,4.6,4.1
24,Airbnb,2024-01-01,2024,January,1,E-Commerce,Canada,Big Tech,2324,7.6,AI Automation,Bull Market,1.1,1.8,1.2,5285,Moderate Hiring,Software Engineer,57.1,25.8,-17.3,-0.1,6.2,5.9
25,Airbnb,2024-01-01,2024,January,1,FinTech,Germany,Mid-size,4541,15.5,AI Automation,Stable,8.9,10.0,7.4,4465,Hiring Freeze,Product Manager,44.7,27.4,13.3,10.1,7.9,5.5
26,Airbnb,2024-01-01,2024,January,1,FinTech,USA,Enterprise,1276,0.8,Cost Cutting,Bull Market,2.4,2.0,1.6,1401,Hiring Freeze,Frontend Developer,66.7,12.3,45.7,25.8,6.8,8.6
27,Airbnb,2024-01-01,2024,January,1,Social Media,UK,Startup,17773,35.2,AI Automation,Recession,7.4,10.0,9.5,1855,Hiring Freeze,Frontend Developer,81.0,16.2,49.1,23.5,6.3,3.5
28,Airbnb,2024-01-01,2024,January,1,Gaming,USA,Mid-size,3843,9.7,Restructuring,Recession,6.1,6.6,5.6,1813,Hiring Freeze,Cloud Engineer,49.0,-17.7,27.2,20.4,6.9,6.5
29,Airbnb,2024-01-01,2024,January,1,Cybersecurity,Singapore,Enterprise,7386,29.1,AI Automation,Recession,4.0,9.2,4.0,463,Downsizing,ML Engineer,60.3,-37.5,58.9,8.7,6.2,4.2
30,Airbnb,2024-01-01,2024,January,1,Gaming,Germany,Startup,2195,4.2,AI Automation,Bull Market,8.7,10.0,6.4,1860,Hiring Freeze,DevOps Engineer,11.4,12.8,27.9,7.0,5.8,5.9
31,Airbnb,2024-01-01,2024,January,1,Social Media,Singapore,Enterprise,7204,21.8,Restructuring,Recession,5.1,7.3,3.7,464,Downsizing,Cloud Engineer,58.2,64.4,32.2,0.7,4.3,6.2
