title,job_count
Prompt Engineer,2833
Deep Learning Specialist,2813
NLP Engineer,2785
NLP Research Scientist,2779
AI Research Scientist,2775
AI Product Manager,2763
AI Ethics Consultant,2747
Machine Learning Engineer,2741
MLOps Engineer,2735
Data Engineer,2730
Research Engineer,2726
ML Platform Developer,2718
AI Solutions Architect,2718
ML Infrastructure Engineer,2705
Computer Vision Engineer,2703
Computer Vision Researcher,2693
Data Scientist,2666
Generative AI Architect,2648
LLM Software Developer,2627
AI Engineer,6
AI Agent & Automation Developer,2
Artificial Intelligence Engineer,2
AI/ML Engineer,2
AI Solution Architect,2
AI Agentic Engineer - Multiple USA locations,1
"Applied AI Engineer, Global Public Sector",1
"Machine Learning Engineer, Global Public Sector",1
Machine Learning  Engineer,1
AI / ML Engineer,1
Artificial (AI) Engineer,1
AI Platform Engineer - Autonomous Agents,1
"AI/ML Engineer, Deployed",1
AI Systems Engineer,1
AI Engineer II,1
Gen AI Engineer,1
Generative AI Developer,1
Lead Data Scientist (NLP),1
