job_id,title,company,industry,country,remote,experience_level,salary_mid_usd,job_url
job-0,AI Agentic Engineer - Multiple USA locations,ClifyX,Technology,United States,Hybrid,Senior,160000.0,https://www.linkedin.com/jobs/view/ai-agentic-engineer-multiple-usa-locations-at-clifyx-4423571288?position=1&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=V6pq0KZqaLi%2B0myrsx5TIA%3D%3D
job-1,AI Engineer,Casumo,Technology,United States,Hybrid,Senior,160000.0,https://mt.linkedin.com/jobs/view/ai-engineer-at-casumo-4411210833?position=2&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=CbNopTmd7n5Z%2BKD5tk72FA%3D%3D
job-2,"Applied AI Engineer, Global Public Sector",Scale AI,Technology,United States,Hybrid,Senior,160000.0,https://qa.linkedin.com/jobs/view/applied-ai-engineer-global-public-sector-at-scale-ai-4274837146?position=3&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=ZhXWhpyhuSqS1ZFainQe7A%3D%3D
job-3,"Machine Learning Engineer, Global Public Sector",Scale AI,Technology,United States,Hybrid,Senior,160000.0,https://qa.linkedin.com/jobs/view/machine-learning-engineer-global-public-sector-at-scale-ai-4196119832?position=4&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=N5ZhSUobYaGHvKZ7g43baw%3D%3D
job-4,AI Agent & Automation Developer,Cherry Bekaert,Technology,United States,Hybrid,Senior,160000.0,https://www.linkedin.com/jobs/view/ai-agent-automation-developer-at-cherry-bekaert-4422344377?position=5&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=MGPODCYx%2FgIuL5m1u4mOlQ%3D%3D
job-5,Artificial Intelligence Engineer,Fivecast,Technology,United States,Hybrid,Senior,160000.0,https://au.linkedin.com/jobs/view/artificial-intelligence-engineer-at-fivecast-4415006325?position=6&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=ljwtHcPvx2o9ow7LhpOSMA%3D%3D
job-6,AI Engineer,malomatia,Technology,United States,Hybrid,Senior,160000.0,https://qa.linkedin.com/jobs/view/ai-engineer-at-malomatia-4431369479?position=7&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=w0%2Bt5glouiq3x5L9vOjvyw%3D%3D
job-7,AI Engineer,Casumo,Technology,United States,Hybrid,Senior,160000.0,https://mt.linkedin.com/jobs/view/ai-engineer-at-casumo-4411221442?position=8&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=d2yExjh0StmrMTc%2B%2Bb%2F0WQ%3D%3D
job-8,AI Engineer,University of Utah,Technology,United States,Hybrid,Senior,160000.0,https://www.linkedin.com/jobs/view/ai-engineer-at-university-of-utah-4416331202?position=9&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=YycV7xMEj4GUGfrYzHjFjw%3D%3D
job-9,AI/ML Engineer,Salient Group,Technology,United States,Hybrid,Senior,160000.0,https://qa.linkedin.com/jobs/view/ai-ml-engineer-at-salient-group-4412659517?position=10&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=VPyg5lRovGqOUOQ7k3Haog%3D%3D
job-10,AI Engineer,Prism Digital,Technology,United States,Hybrid,Senior,160000.0,https://uk.linkedin.com/jobs/view/ai-engineer-at-prism-digital-4426357473?position=11&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=lSVPcNYhkoiavJciX9IhWQ%3D%3D
job-11,Machine Learning  Engineer,ModMed,Technology,United States,Hybrid,Senior,160000.0,https://www.linkedin.com/jobs/view/machine-learning-engineer-at-modmed-4404238079?position=12&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=0IMO%2FYOvormFKgCG0mvW%2FA%3D%3D
job-12,AI / ML Engineer,Accenture in India,Technology,United States,Hybrid,Senior,160000.0,https://in.linkedin.com/jobs/view/ai-ml-engineer-at-accenture-in-india-4404502542?position=13&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=yBxsanLRO4uTgraAF8JnYA%3D%3D
job-13,Artificial (AI) Engineer,VELOX,Technology,United States,Hybrid,Senior,160000.0,https://www.linkedin.com/jobs/view/artificial-ai-engineer-at-velox-4272412466?position=14&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=faGfW%2FxXBDIo8Ldn7bxD9g%3D%3D
job-14,AI Agent & Automation Developer,Cherry Bekaert,Technology,United States,Hybrid,Senior,160000.0,https://www.linkedin.com/jobs/view/ai-agent-automation-developer-at-cherry-bekaert-4422343399?position=15&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=rIr63HlFZXR5lp3HYAVLWQ%3D%3D
job-15,AI Solution Architect,EisnerAmper,Technology,United States,Hybrid,Senior,160000.0,https://www.linkedin.com/jobs/view/ai-solution-architect-at-eisneramper-4430485497?position=16&pageNum=0&refId=7o%2BeyhthCVQ8Y7ctGh8EVA%3D%3D&trackingId=9Q5NXXdJBIdnbWBtA0MapQ%3D%3D
