sub-program,program,url,description,tags
"AG JLC","Student Projects","https://www.ag-jlc.de/en","Group for students and doctoral candidates of food chemistry organizing meetings and excursions.","food chemistry, academic, excursions, doctoral, networking"
"Carousel Magazin","Student Projects","-","Student magazine project at TUM.","magazine, journalism, media, writing, student media"
"Munich Debate Club","Student Projects","https://www.debattierclub-muenchen.de/","Hosts friendly debates and competes in German and international debate competitions.","debate, public speaking, competition, rhetoric, argumentation"
"EESTEC LC Munich","Student Projects","https://eestec-muc.de/","Develops international contacts and encourages exchange of ideas among EECS students.","electrical engineering, computer science, international, networking, exchange"
"EMSA","Student Projects","https://www.sv.tum.de/med/projekte/emsa/","European medical student NGO representing student interests and opinions across Europe.","medicine, NGO, European, advocacy, medical students"
"Enactus Munich","Student Projects","https://enactus-muenchen.de/","Student organization focused on social entrepreneurship with 6 projects addressing sustainable development.","social entrepreneurship, sustainability, SDGs, community, projects"
"h4tum","Student Projects","-","Student hacking/maker group at TUM.","hacking, maker, technical, projects, community"
"jDPG RG München","Student Projects","https://www.dpg-physik.de/vereinigungen/fachuebergreifend/ak/akjdpg/regional/rg-muenchen/","Organizes science events, lab visits, and company tours for physics students.","physics, science events, lab visits, company tours, networking"
"jGBM München","Student Projects","-","Student group for biotechnology and molecular biology students.","biotechnology, molecular biology, academic, science, networking"
"Munich Comp. Math Club","Student Projects","https://mc-squared.jimdosite.com/","Prepares students for math competitions including the International Mathematics Competition (IMC).","mathematics, competition, problem-solving, IMC, academic"
"Philosophia Munich","Student Projects","https://www.philosophiamunich.org/","Discusses modern philosophy, ethics, and society in regular sessions.","philosophy, ethics, society, discussion, humanities"
"Public Makers","Student Projects","-","Community of students interested in public-interest making and civic technology.","civic tech, making, public interest, community, projects"
"PushQuantum","Student Projects","-","Student group focused on quantum computing and quantum technologies.","quantum computing, deep tech, research, innovation, physics"
"TEDxTUM","Student Projects","https://www.tedxtum.com","Independently organized TED event at TUM spreading ideas worth spreading.","TED, ideas, talks, inspiration, community"
"TUM Case Club","Student Projects","https://www.tumcaseclub.de/","Runs case study workshops and competitions to sharpen analytical and business skills.","case studies, consulting, workshops, competitions, business"
"TUMuchData","Student Projects","-","Student group exploring data science, analytics, and data-driven projects.","data science, analytics, machine learning, projects, community"
"TUM-XR","Student Projects","https://tum-xr.com/","Explores extended reality (XR) technology and its intersection with humanities and design.","XR, virtual reality, augmented reality, technology, humanities"
"BSH Munich","Student Projects","https://muenchen.sicherheitspolitik.de/aktuelles","Promotes exchange on security policy through events and discussions.","security policy, geopolitics, foreign policy, events, discussion"
"EA Munich","Student Projects","https://bit.ly/ea_munich_signup","Effective altruism group using evidence and careful reasoning to maximize positive impact.","effective altruism, impact, philanthropy, ethics, reasoning"
"Ethics in Academia","Student Projects","-","Group discussing ethical dimensions of research and academic practice.","ethics, research integrity, academia, philosophy, policy"
"Global Shapers Munich","Student Projects","-","World Economic Forum youth network hub for young leaders in Munich.","WEF, leadership, global, young professionals, impact"
"Mary's Meals","Student Projects","-","Student chapter supporting the international school feeding charity.","charity, hunger, school feeding, volunteering, humanitarian"
"Munich Animal Rights Club","Student Projects","https://www.municharc.de/","Organizes talks and events on animal ethics and human-animal relations.","animal rights, ethics, advocacy, veganism, activism"
"School of Transformation","Student Projects","https://www.schooloftransformation.eu/","Intersectional feminist collective engaging with feminist practices and transformation.","feminism, intersectionality, social change, collective, activism"
"TUM.priv","Student Projects","-","Student group focused on privacy, data protection, and digital rights.","privacy, data protection, GDPR, digital rights, law"
"Women in Business e.V.","Student Projects","-","Promotes women's leadership and career development in business.","women in business, leadership, career, diversity, empowerment"
"Women in CS @ TUM","Student Projects","https://womenincstum.github.io/","Initiative promoting equal participation of women in computer science.","women in tech, computer science, diversity, STEM, inclusion"
"100 Voices - One Planet","Student Projects","https://www.100vop.org","Gathering voices from 100 countries impacted by climate change for a documentary.","climate change, documentary, storytelling, global voices, environment"
"LBV-HSG Freising","Student Projects","https://freising.lbv.de/hochschulgruppe/","Organizes nature excursions and species education for nature conservation.","nature conservation, biodiversity, excursions, environment, biology"
"Plant-Based Universities Munich","Student Projects","-","Advocates for more plant-based food options at TUM and university canteens.","plant-based, sustainability, food systems, advocacy, environment"
"TUM Green Tech Initiative","Student Projects","https://linktr.ee/tum_greentech","Empowers and inspires students toward sustainable futures through green technology projects.","green tech, sustainability, climate, innovation, student initiative"
"Accento Orchester München","Student Projects","https://accento-muenchen.de/","Orchestra offering refreshing interpretations of classical and modern repertoire.","orchestra, music, classical, performance, culture"
"AcTUM","Student Projects","https://ac-tum.de","Diverse group of TUM members who love acting and perform theatrical productions.","theater, acting, performance, culture, arts"
"Arts and Crafts Club","Student Projects","-","Student club for arts, crafts, and creative making activities.","arts, crafts, creativity, making, culture"
"Board Game Club","Student Projects","https://hn.fs.tum.de/de/clubs/board-game-club/","Hosts weekly game evenings at TUM Heilbronn campus.","board games, gaming, community, social, leisure"
"Campus-Chor Garching","Student Projects","https://www.ccg.tum.de","Choir performing at TUM events, concerts, and community occasions.","choir, singing, music, performance, community"
"Campus-Cneipe","Student Projects","https://c2.tum.de","Student-managed leisure and social space active since 2005.","social, community, leisure, campus life, student bar"
"tu film","Student Projects","https://www.tu-film.de/","Shows current films and classics in weekly student cinema screenings.","cinema, film, culture, screenings, student cinema"
"Fusian Dance Crew","Student Projects","https://msha.ke/fusiandance","International dance crew focused on mixed hip-hop styles.","dance, hip-hop, international, performance, culture"
"Culture Club","Student Projects","https://kulturklub.wixsite.com/kulturklub","Group visiting theaters, cinemas, and museums together for cultural enrichment.","culture, theater, cinema, museums, arts"
"Munich Music Labs","Student Projects","-","Student music project studio and creative music production lab.","music production, studio, creativity, performance, music"
"NACHHOELZER","Student Projects","https://www.instagram.com/nachhoelzer/","Initiative for student culture promoting interdisciplinary interaction and creative exchange.","culture, interdisciplinary, creativity, community, arts"
"Praias do Isar","Student Projects","https://praiasdoisar.de","Rio-style samba school with percussion and dance rooted in Brazilian culture.","samba, dance, music, Brazilian culture, percussion"
"Studentischer Klavierverein München","Student Projects","-","Student piano association for piano enthusiasts and performers.","piano, classical music, performance, music, culture"
"TUdesign","Student Projects","-","Student design club exploring graphic design, UI/UX, and visual communication.","design, graphic design, UX, visual communication, creativity"
"TUM Jazzband","Student Projects","https://www.tumjazzband.de","Student-run big band accepting musicians from Munich universities.","jazz, big band, music, performance, community"
"TUM tanzt! - Performance Company","Student Projects","-","Student dance performance company at TUM.","dance, performance, arts, community, culture"
"180DC Munich","Student Projects","https://180dcmunich.org/","World's largest student-led consultancy supporting nonprofits and social enterprises.","consulting, nonprofit, social impact, pro bono, student consultancy"
"Academy Consult","Student Projects","https://academyconsult.de/","Helps students apply academic theory by consulting companies on external projects.","consulting, project work, business, student consultancy, industry"
"bdvb Hochschulgruppe München","Student Projects","-","University group of the German Business and Valuation Association.","business, finance, valuation, networking, career"
"EUROAVIA Munich","Student Projects","https://linktr.ee/euroavia.munich","Promotes aerospace knowledge, professional development, and networking for aviation students.","aerospace, aviation, professional development, networking, engineering"
"Family Business Club","Student Projects","https://www.family-business-club.de","Initiative connecting students interested in family businesses and Mittelstand.","family business, Mittelstand, entrepreneurship, networking, business"
"Future Builders Munich","Student Projects","-","Student group building future-oriented projects and career skills.","future, career, innovation, projects, student initiative"
"IAESTE an der TUM e.V.","Student Projects","-","International association for exchange of technical experience for students.","internship exchange, international, engineering, technical, career"
"IKOM","Student Projects","https://www.ikom-tum.de","Germany's largest student-run career forum connecting students with companies.","career fair, industry, recruiting, networking, job market"
"Innovis VC","Student Projects","https://www.innovis.vc/","Europe's fastest-growing student initiative at the intersection of startups, students, and investors.","venture capital, startups, investing, student VC, entrepreneurship"
"Nucleate Germany","Student Projects","https://nucleate.xyz/","Facilitates the formation of biotech companies led by student and postdoc scientists.","biotech, deep tech, startup, life sciences, entrepreneurship"
"TUM Blockchain Club","Student Projects","https://www.tum-blockchain.com/","Boosts the European student blockchain ecosystem through education and events.","blockchain, web3, crypto, decentralization, fintech"
"TUM Business Game","Student Projects","-","Student-run business simulation and strategy game competition.","business simulation, strategy, competition, management, career"
"TUM Marketing Club","Student Projects","-","Student group focused on marketing strategy, branding, and industry connections.","marketing, branding, strategy, career, networking"
"VDE-IEEE Hochschulgruppe","Student Projects","-","Student chapter bridging electrical engineering and industry through VDE and IEEE.","electrical engineering, IEEE, VDE, professional network, career"
"Campus for Change","Student Projects","https://www.campusforchange.org","Implements social projects worldwide in development aid and health.","social impact, development aid, health, volunteering, international"
"Coding for Change","Student Projects","http://codingforchange.com","Empowers NGOs to create greater social impact through digital innovation.","NGO, digital, social impact, tech for good, volunteering"
"Ingenieure ohne Grenzen","Student Projects","https://www.ingenieure-ohne-grenzen.org/en/node/1638","Uses technical know-how to improve living conditions in developing countries.","engineers without borders, development, technical aid, humanitarian, sustainability"
"Nightline München","Student Projects","https://www.nightline-muc.de/en","Student-run confidential helpline by students for students.","mental health, peer support, helpline, wellbeing, community"
"Political and Economic Education Association","Student Projects","-","Association promoting civic, political, and economic education.","political education, civic engagement, economics, education, community"
"ROCK YOUR LIFE! Munich","Student Projects","https://muenchen.rockyourlife.de/","Mentoring program connecting university students with middle school students.","mentoring, youth, social mobility, education, community"
"Sailsetters","Student Projects","-","Student sailing initiative combining sport and community service.","sailing, sport, community, teamwork, outdoors"
