name,description,website,logo_url
100 Voices - One Planet,We’re a project that’s gathering voices from the 100 countries most strongly impacted by climate change and uniting them in a documentary.,https://www.100vop.org,https://www.sv.tum.de/fileadmin/_processed_/2/d/csm_100_Voices_One_Planet_691aa7a06d.webp
180DC Munich,"As the world’s largest student-led consultancy, we support nonprofit organizations and social startups in mastering strategic challenges.",https://180dcmunich.org/,https://www.sv.tum.de/fileadmin/_processed_/0/c/csm_180_Degrees_Consulting_4f7316e409.webp
AG JLC,"The working group consists of students, doctoral candidates and graduates of food chemistry. We organize meetings & excursions.",https://www.ag-jlc.de/en,https://www.sv.tum.de/fileadmin/_processed_/f/7/csm_AG_JLC_dd7207007b.webp
AIS-Munich,"AIS-Munich's aims are supporting students, presenting a holistic picture of Iranian culture and providing a setting for integration & exchange.",https://www.ais-munich.org/,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/AIS_Munich.svg
AcTUM,We are a diverse group of TUM members who simply love acting. We are always looking for enthusiastic people on or off stage!,https://ac-tum.de,https://www.sv.tum.de/fileadmin/_processed_/8/6/csm_AcTUM_b2ff662896.webp
Academy Consult,We help students expand the theoretical knowledge they gather at university by consulting companies on external projects.,https://academyconsult.de/,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/Academy_Consult.svg
Accento Orchester München,"With refreshing interpretations, we aim to fascinate the audience and are always looking for ambitious young musicians!",https://accento-muenchen.de/,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/Accento.svg
Akaflieg Munich,"Akaflieg Munich is a student initiative for all universities in Munich. Since 1924, we design, build and fly our own gliders and motor airplanes.",https://www.akaflieg.vo.tum.de,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/Akaflieg.svg
Albanian Student Society at TUM,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Arts and Crafts Club,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Asclepios Lab Munich,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
BSH Munich,BSH-Munich promotes exchange on security policy issues through a variety of events and discussions on international politics.,https://muenchen.sicherheitspolitik.de/aktuelles,https://www.sv.tum.de/fileadmin/_processed_/8/9/csm_Bundesverband_Sicherheitspolitik_an_den_Hochschulen_8feb23fbc2.webp
Beta Sigma Club,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
BioMatrix,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
Bioinformatics Munich Student Lab,"The Initiative applies computational techniques and AI in biology and medicine, offers networking, and hands-on experience in innovative projects.",https://bmsl.dev/,https://www.sv.tum.de/fileadmin/_processed_/0/7/csm_bmsl_c5add2bf52.webp
Board Game Club,"The community of board game enthusiasts at the Heilbronn Campus, organising weekly board game evenings to connect, have fun and relax together!",https://hn.fs.tum.de/de/clubs/board-game-club/de/de/clubs/board-game-club/,https://www.sv.tum.de/fileadmin/_processed_/c/b/csm_BGC_Logo-SV-page-scale_9a12b3c3eb.webp
Campus for Change,"We implement social projects worldwide in the areas of development aid, education, health care and refugee aid.",https://www.campusforchange.org,https://www.sv.tum.de/fileadmin/_processed_/a/9/csm_Campus_for_Change_50ee379724.webp
Campus-Chor Garching,We are a choir that is not only made up of students and sings at events at TUM as well as at our own concerts.,https://www.ccg.tum.de,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/Campus-Chor_Garching.svg
Campus-Cneipe,"The Campus-Cneipe has been providing leisure activities since 2005. It's managed, supplied, and run by TUM students and alumni.",https://c2.tum.de,https://www.sv.tum.de/fileadmin/w00bdj/www/Hochschulgruppen/Logos/Campus-Cneipe.svg
Carousel Magazin,,,https://www.sv.tum.de/fileadmin/_processed_/d/3/csm_hsg-placeholder_e3b7e51983.webp
