Country,Company Industry,job_count,salary_min_usd,salary_median_usd,salary_max_usd,avg_company_size
Australia,Automotive & Robotics,477,41910.0,71280.0,114510.0,1668.0
Australia,Cybersecurity,455,43230.0,71940.0,115170.0,1784.0
Australia,Entertainment & Media,453,41910.0,71280.0,114840.0,1650.0
Australia,Finance & Banking,445,42240.0,71610.0,114840.0,1602.0
Australia,Technology,444,42570.0,71610.0,115170.0,1767.0
Australia,Logistics & Supply Chain,442,41910.0,70950.0,113520.0,1815.0
Australia,Retail & E-commerce,433,42240.0,71280.0,114840.0,1666.0
Australia,Energy & Utilities,432,41910.0,71115.0,113850.0,1844.0
Australia,Healthcare & Biotech,432,41910.0,71280.0,114510.0,1671.0
Australia,Education & EdTech,423,42240.0,71940.0,115500.0,1804.0
Canada,Logistics & Supply Chain,486,54020.0,82855.0,138700.0,1983.0
Canada,Technology,469,54020.0,83950.0,139065.0,1412.0
Canada,Healthcare & Biotech,458,53290.0,83950.0,139065.0,1819.0
Canada,Automotive & Robotics,437,54385.0,84315.0,137240.0,1629.0
Canada,Energy & Utilities,433,53655.0,84315.0,138335.0,1754.0
Canada,Finance & Banking,430,53290.0,84498.0,138700.0,1614.0
Canada,Cybersecurity,422,53655.0,84132.0,138700.0,1674.0
Canada,Education & EdTech,421,53655.0,85045.0,138700.0,1512.0
Canada,Entertainment & Media,421,53655.0,83585.0,137605.0,1649.0
Canada,Retail & E-commerce,419,53290.0,83585.0,139430.0,1582.0
France,Cybersecurity,462,69660.0,115560.0,188460.0,1459.0
France,Energy & Utilities,452,68580.0,117180.0,188460.0,1629.0
France,Healthcare & Biotech,440,70740.0,116640.0,185760.0,1633.0
France,Logistics & Supply Chain,431,68580.0,116640.0,187920.0,1661.0
France,Technology,426,70740.0,115560.0,187380.0,1380.0
France,Education & EdTech,425,68580.0,117720.0,189540.0,1773.0
France,Finance & Banking,420,68580.0,117720.0,187920.0,1512.0
France,Automotive & Robotics,413,69120.0,117180.0,186840.0,1717.0
France,Entertainment & Media,411,71280.0,115560.0,187920.0,1615.0
France,Retail & E-commerce,372,69120.0,116640.0,186840.0,1699.0
Germany,Technology,456,57780.0,91260.0,143640.0,1854.0
Germany,Automotive & Robotics,452,57240.0,90720.0,144180.0,1698.0
Germany,Energy & Utilities,447,56700.0,91800.0,144180.0,1439.0
Germany,Retail & E-commerce,439,56700.0,90180.0,143100.0,1387.0
Germany,Healthcare & Biotech,426,58320.0,89640.0,143640.0,1833.0
Germany,Logistics & Supply Chain,419,57240.0,90720.0,143640.0,2093.0
Germany,Education & EdTech,418,57240.0,91260.0,142020.0,1589.0
Germany,Entertainment & Media,416,57240.0,90180.0,143100.0,1619.0
Germany,Finance & Banking,405,56700.0,90180.0,143100.0,1558.0
Germany,Cybersecurity,385,56700.0,91800.0,143100.0,1655.0
India,Automotive & Robotics,480,10800.0,27600.0,64800.0,1514.0
India,Energy & Utilities,452,10800.0,28200.0,65400.0,1723.0
India,Education & EdTech,447,10800.0,27600.0,65400.0,1737.0
India,Finance & Banking,447,10800.0,27600.0,63000.0,1411.0
India,Logistics & Supply Chain,427,10800.0,27600.0,65400.0,1478.0
India,Entertainment & Media,426,10800.0,28200.0,64800.0,1326.0
India,Technology,421,10800.0,27600.0,64200.0,1669.0
India,Healthcare & Biotech,407,11400.0,28200.0,64800.0,1619.0
India,Cybersecurity,403,10800.0,28200.0,63600.0,1359.0
India,Retail & E-commerce,395,10800.0,27600.0,65400.0,1887.0
Ireland,Cybersecurity,454,70200.0,116910.0,189540.0,1514.0
Ireland,Logistics & Supply Chain,450,68580.0,117180.0,188460.0,1742.0
Ireland,Finance & Banking,443,69120.0,117720.0,187920.0,1645.0
Ireland,Technology,441,69120.0,116640.0,188460.0,1628.0
Ireland,Entertainment & Media,437,68580.0,116100.0,189540.0,1651.0
Ireland,Education & EdTech,436,69660.0,116370.0,186840.0,2051.0
Ireland,Retail & E-commerce,435,71280.0,117180.0,188460.0,1711.0
Ireland,Automotive & Robotics,423,69120.0,116100.0,188460.0,1422.0
Ireland,Healthcare & Biotech,420,70200.0,117180.0,186840.0,1582.0
Ireland,Energy & Utilities,380,68580.0,117990.0,188460.0,1728.0
Japan,Entertainment & Media,465,42545.0,72695.0,116915.0,1504.0
Japan,Healthcare & Biotech,457,43215.0,72360.0,116245.0,1948.0
Japan,Finance & Banking,455,42880.0,72695.0,116915.0,1704.0
Japan,Automotive & Robotics,445,43885.0,72360.0,117585.0,1725.0
Japan,Cybersecurity,436,43215.0,72695.0,115910.0,1530.0
Japan,Logistics & Supply Chain,425,43215.0,73365.0,117585.0,1374.0
Japan,Education & EdTech,421,43215.0,72025.0,116245.0,1576.0
