country,industry,specialization,job_count,salary_median_eur,risk_score,risk_label,sentiment_score,top_skills
Australia,Automotive & Robotics,Computer Vision,51,64694,5.56,Medium Risk,5.3,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Australia,Automotive & Robotics,Data Science,24,64543,5.56,Medium Risk,5.3,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Australia,Automotive & Robotics,Deep Learning,21,64087,5.56,Medium Risk,5.3,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Australia,Automotive & Robotics,Generative AI,74,66972,5.56,Medium Risk,5.3,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Australia,Automotive & Robotics,MLOps,67,66213,5.56,Medium Risk,5.3,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Australia,Automotive & Robotics,Machine Learning,150,64846,5.56,Medium Risk,5.3,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Australia,Automotive & Robotics,NLP,39,65606,5.56,Medium Risk,5.3,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Australia,Cybersecurity,Computer Vision,51,64998,5.1,Medium Risk,6.49,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Australia,Cybersecurity,Data Science,16,66972,5.1,Medium Risk,6.49,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Australia,Cybersecurity,Deep Learning,20,65606,5.1,Medium Risk,6.49,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Australia,Cybersecurity,Generative AI,47,64087,5.1,Medium Risk,6.49,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Australia,Cybersecurity,MLOps,69,65606,5.1,Medium Risk,6.49,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Australia,Cybersecurity,Machine Learning,149,66213,5.1,Medium Risk,6.49,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Australia,Cybersecurity,NLP,35,67732,5.1,Medium Risk,6.49,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Australia,Education & EdTech,Computer Vision,40,66213,1.69,Low Risk,6.1,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Australia,Education & EdTech,Data Science,15,90511,1.69,Low Risk,6.1,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Australia,Education & EdTech,Deep Learning,28,66972,1.69,Low Risk,6.1,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Australia,Education & EdTech,Generative AI,71,65606,1.69,Low Risk,6.1,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Australia,Education & EdTech,MLOps,50,65758,1.69,Low Risk,6.1,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Australia,Education & EdTech,Machine Learning,131,66517,1.69,Low Risk,6.1,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Australia,Education & EdTech,NLP,26,66365,1.69,Low Risk,6.1,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Australia,Energy & Utilities,Computer Vision,42,63631,3.77,Low Risk,5.1,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Australia,Energy & Utilities,Data Science,19,65909,3.77,Low Risk,5.1,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Australia,Energy & Utilities,Deep Learning,22,66365,3.77,Low Risk,5.1,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Australia,Energy & Utilities,Generative AI,57,65302,3.77,Low Risk,5.1,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Australia,Energy & Utilities,MLOps,55,66821,3.77,Low Risk,5.1,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Australia,Energy & Utilities,Machine Learning,142,65150,3.77,Low Risk,5.1,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Australia,Energy & Utilities,NLP,41,65302,3.77,Low Risk,5.1,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Australia,Entertainment & Media,Computer Vision,40,64391,4.75,Medium Risk,6.54,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Australia,Entertainment & Media,Data Science,21,63176,4.75,Medium Risk,6.54,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Australia,Entertainment & Media,Deep Learning,25,65606,4.75,Medium Risk,6.54,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Australia,Entertainment & Media,Generative AI,54,66365,4.75,Medium Risk,6.54,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Australia,Entertainment & Media,MLOps,48,64694,4.75,Medium Risk,6.54,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Australia,Entertainment & Media,Machine Learning,151,65909,4.75,Medium Risk,6.54,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Australia,Entertainment & Media,NLP,55,66821,4.75,Medium Risk,6.54,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Australia,Finance & Banking,Computer Vision,34,67276,4.88,Medium Risk,6.49,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Australia,Finance & Banking,Data Science,28,67124,4.88,Medium Risk,6.49,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Australia,Finance & Banking,Deep Learning,30,66821,4.88,Medium Risk,6.49,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Australia,Finance & Banking,Generative AI,45,66213,4.88,Medium Risk,6.49,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Australia,Finance & Banking,MLOps,61,65909,4.88,Medium Risk,6.49,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Australia,Finance & Banking,Machine Learning,128,65454,4.88,Medium Risk,6.49,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Australia,Finance & Banking,NLP,49,64391,4.88,Medium Risk,6.49,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Australia,Healthcare & Biotech,Computer Vision,43,65302,2.96,Low Risk,5.9,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
Australia,Healthcare & Biotech,Data Science,15,70162,2.96,Low Risk,5.9,SQL;R-Studio;Statsmodels;Matplotlib;Data Wrangling;A/B Testing;Seaborn;Data Visualization
Australia,Healthcare & Biotech,Deep Learning,18,62568,2.96,Low Risk,5.9,JAX;Backpropagation;Keras;CNNs;CUDA;PyTorch;Neural Networks;RNNs
Australia,Healthcare & Biotech,Generative AI,66,65150,2.96,Low Risk,5.9,Fine-tuning;RAG (Retrieval-Augmented Generation);LangChain;OpenAI API;Stable Diffusion;Prompt Engineering;Vector Databases;LlamaIndex
Australia,Healthcare & Biotech,MLOps,57,69250,2.96,Low Risk,5.9,Docker;Triton Inference Server;CI/CD;Model Monitoring;Kubeflow;MLflow;Git;Terraform
Australia,Healthcare & Biotech,Machine Learning,130,65454,2.96,Low Risk,5.9,XGBoost;Supervised Learning;NumPy;Regression;Scikit-learn;Random Forest;Feature Engineering;LightGBM
Australia,Healthcare & Biotech,NLP,35,63783,2.96,Low Risk,5.9,GPT;NLTK;Tokenization;Spacy;Hugging Face;Transformers;Named Entity Recognition (NER);Text Summarization
Australia,Logistics & Supply Chain,Computer Vision,41,64391,7.36,High Risk,4.9,OpenCV;OCR;Object Detection;Image Segmentation;PyTorch;YOLO;ResNet;Image Processing
